year,id_news,local,national,after_national,po_cst,ps_cst,ra_cst,rs_cst,qs_s,qtotal,ads_s,ads_p4_cst,ra_cst_div_qtotal
1960,1,1,0,0,2.595,2.2870033,52890270,62353350,88.9793588,94478.09148,30.60185,,559.8151823
1961,1,1,0,0,2.51,2.2048628,56601060,61515944,90.88828374,96288.53841,38.411293,,587.8275954
1962,1,1,0,0,2.395,2.1317086,64840750,58801090,90.75689491,97313.21594,31.590162,23.95,666.3098056
1963,1,1,0,0,2.742,2.4273443,70582940,69999680,90.10597139,101068.4976,27.198412,50.27,698.3673616
1964,1,1,0,0,2.6520002,2.3476722,74977890,67946460,89.63826008,102103.2095,31.105635,48.62,734.3343111
1965,1,1,0,0,2.589,2.2919016,74438250,68225260,89.59991927,105168.7926,47.8,47.465,707.7978947
1966,1,1,0,0,2.52,2.3134427,81383000,82732050,89.8313762,126235.3064,29.704227,46.2,644.6928544
1967,1,1,0,0,3.272,2.8761935,80263150,105385090,88.61730415,128666.7464,49.39873,87.935,623.8064787
1968,1,1,0,0,3.91,3.4529872,87165704,129917130,87.46813501,131823.7326,26.94512,84.065,661.2292209
1969,1,1,0,0,3.675,3.277377,102596380,122107470,86.8404908,132417.288,31.744564,79.0125,774.7959617
1970,1,1,0,0,3.495,3.1271052,102968170,122168140,86.73469388,134441.3,33.717175,,765.8968635
1971,1,1,0,0,3.305,2.9474099,103353970,122872050,86.73469388,137339.16,33.23256,,752.5455231
1972,1,1,0,0,4.361,3.89375,123905450,145924800,88.7755102,133891.52,32.259613,,925.4167105
1973,1,1,0,0,4.56,4.166113,128207160,136306540,88.84111384,132700.2336,29.699074,,966.1411779
1974,1,1,0,0,4.4088,4.0408525,120566060,153140180,88.7755102,131491.5,45.431816,,916.9114353
1960,3,1,0,0,2.595,2.2002914,10002009,16837750,37.01781699,28905,,,346.03041
1961,3,1,0,0,2.51,2.13513,10387659,16627949,36.86796226,28751.25,,,361.2941698
1962,3,1,0,0,2.395,2.050621,11720479,15926509,35.64689559,28830,7.857143,,406.5375997
1963,3,1,0,0,2.742,2.3988705,11886299,20097118,29.94652406,30481,3.2142856,18.28,389.9576457
1964,3,1,0,0,2.6520002,2.2674026,13566996,18339724,30.10752688,30413.79,6.964286,17.68,446.0804129
1965,3,1,0,0,2.589,2.3050816,12627709,18196790,29.34782609,31372,4.84375,17.26,402.5152684
1966,3,1,0,0,2.52,2.2509806,12283228,18568242,29.34782609,32200,8.59375,16.8,381.4667081
1967,3,1,0,0,3.272,2.9598684,14577905,24004452,27.47252747,32487,3.125,17.0962,448.7304152
1968,3,1,0,0,3.91,3.4275975,15162902,26124368,26.37362637,29757,9.21875,17.0476,509.5574823
1969,3,1,0,0,3.675,3.2426472,18711306,24676802,25.82417582,30030,4.53125,17.640001,623.0871129
1970,3,1,0,0,3.495,3.0637987,21762966,24070994,25.66666667,30060,10.625,137.004,723.9842315
1971,3,1,0,0,3.305,2.9161766,25216006,23839718,24.44444444,31309.2,10.625,171.86,805.3864679
1972,3,1,0,0,4.361,3.89375,24032848,29109676,25.55555556,31093.2,14.444444,168.21,772.9293865
1973,3,1,0,0,3.99,3.5742574,27381870,28918648,24.51833095,31743.2684,12.222222,168.15,862.6039907
1974,3,1,0,0,4.509,3.998112,25690824,30871876,24.17582418,31352.23,14.833334,165.33,819.4257314
1960,6,1,0,0,,,,,,,,,
